PG.ProteinAccessions,PG.Genes,[1] HF_RCF20200718_52ITDR_0nM_1.raw.PG.Quantity,[2] HF_RCF20200718_52ITDR_0nM_2.raw.PG.Quantity,[3] HF_RCF20200718_52ITDR_0nM_3.raw.PG.Quantity,[4] HF_RCF20200718_52ITDR_0nM_4.raw.PG.Quantity,[5] HF_RCF20200718_52ITDR_0nM_5.raw.PG.Quantity,[6] HF_RCF20200718_52ITDR_2nM_1.raw.PG.Quantity,[7] HF_RCF20200718_52ITDR_2nM_2.raw.PG.Quantity,[8] HF_RCF20200718_52ITDR_2nM_3.raw.PG.Quantity,[9] HF_RCF20200718_52ITDR_2nM_4.raw.PG.Quantity,[10] HF_RCF20200718_52ITDR_2nM_5.raw.PG.Quantity,[11] HF_RCF20200718_52ITDR_20uM_1.raw.PG.Quantity,[12] HF_RCF20200718_52ITDR_20uM_2.raw.PG.Quantity,[13] HF_RCF20200718_52ITDR_20uM_3.raw.PG.Quantity,[14] HF_RCF20200718_52ITDR_20uM_4.raw.PG.Quantity,[15] HF_RCF20200718_52ITDR_20uM_5.raw.PG.Quantity,[16] HF_RCF20200718_52ITDR_40nM_1.raw.PG.Quantity,[17] HF_RCF20200718_52ITDR_40nM_2.raw.PG.Quantity,[18] HF_RCF20200718_52ITDR_40nM_3.raw.PG.Quantity,[19] HF_RCF20200718_52ITDR_40nM_4.raw.PG.Quantity,[20] HF_RCF20200718_52ITDR_40nM_5.raw.PG.Quantity,[21] HF_RCF20200718_52ITDR_800nM_1.raw.PG.Quantity,[22] HF_RCF20200718_52ITDR_800nM_2.raw.PG.Quantity,[23] HF_RCF20200718_52ITDR_800nM_3.raw.PG.Quantity,[24] HF_RCF20200718_52ITDR_800nM_4.raw.PG.Quantity,[25] HF_RCF20200718_52ITDR_800nM_5.raw.PG.Quantity
Q8NEC7,GSTCD,11447.0791,9241.314453,11686.11035,14113.6084,12341.17383,11551.75098,16365.78027,10778.56641,13647.95117,12873.64063,12961.92383,10988.39453,8349.275391,14969.83008,14800.96094,14902.18066,12634.35156,9829.282227,11738.86426,11753.97363,14982.08887,10404.6875,7064.927734,11761.7959,14686.01563
Q8NEF9,SRFBP1,7899.270508,10989.99316,10170.11719,6253.902344,9898.461914,9118.511719,6853.074707,7164.395996,8242.238281,8300.262695,10290.0166,9636.655273,9626.594727,6758.387695,8532.249023,9653.354492,10753.41113,9294.412109,7270.612793,8086.111328,9168.600586,3448.688965,6953.414063,10069.49023,8839.725586
Q8NEJ9,NGDN,5150.964844,10147.21875,5200.950684,9215.074219,10750.73438,8423.095703,10355.19434,9426.554688,9529.162109,7592.433594,7855.618164,7798.676758,7600.230957,6581.086914,8994.316406,4901.780273,9643.473633,5516.523438,6494.755371,8764.609375,5323.681641,7542.330566,9217.248047,5692.50293,9973.587891
Q8NEL9,DDHD1,20272.61914,21998.17773,24957.64844,23391.61914,24417.66406,23043.24805,19650.53711,22813.15039,27951.12109,23931.36719,21943.22852,23854.19531,21130.23633,24007.84961,17190.01563,22200.16602,24692.35742,21755.0625,21879.25781,28732.25195,30897.77539,24205.01953,25852.12109,25489.2793,21570.05664
Q8NEM2,SHCBP1,10153.04883,10897.2334,10755.45898,11613.9668,11077.93555,11569.86621,12859.62012,11887.56152,11006.35254,8729.012695,10674.3916,12530.66895,10792.52539,11883.68848,11778.14551,14777.42969,11370.70313,12006.96191,11204.99609,11221.78125,13002.94922,10228.77148,10676.75684,11458.07324,12111.39746
Q8NEM7,SUPT20H,147942.0938,160995.3438,162821.9063,163599.375,157907.8594,160512.4063,161213.0938,171720.125,165074.2969,168052.6875,167998.375,171302.2344,166239.1406,173435.4688,179287.2344,164380.125,166598.3125,167355.4375,170343.5313,184037.8125,174937.7188,170172.9219,146257.4844,155374.5469,171304.8594
Q8NEZ2,VPS37A,21966.42383,19073.62109,22646.08203,20274.69531,24693.41406,21520.83398,21078.26172,20221.20898,21498.00391,19758.10547,19924.35352,21513.97461,18656.63086,20826.18359,20160.73633,17700.39844,21716.38672,19495.25586,18497.24219,21900.0918,24354.85938,17299.57813,19778.12305,24544.1543,22798.31445
Q8NEZ4,KMT2C,11059.49902,11759.52637,11407.02539,12325.69141,13971.40332,12540.90527,11502.38965,12706.12793,11192.47168,12374.90527,10291.57031,9305.586914,11557.59277,11848.40039,13102.44043,10466.33984,11255.31836,10833.1582,11587.5752,12410.63379,7726.391113,18167.12891,16127.64355,13145.75977,13191.52637
Q8NEZ5,FBXO22,77959.67969,79305.49219,85783.1875,89720.61719,85095.99219,86710.8125,82222.85156,76735.25,81762.88281,86222.84375,80339.88281,84378.23438,79875.34375,88026.79688,87303.88281,93740.59375,83094.17188,81614.46875,80114.96875,82830.9375,83724.55469,95273.66406,100627.6875,86953.77344,86954.14063
Q8NF64,ZMIZ2,15968.53516,14286.91602,13584.3623,14741.88574,13037.00879,12866.82031,13865.92383,14837.71973,14024.16406,15448.52051,15205.5791,14870.5625,14286.95801,13473.26367,13448.68164,12652.4668,15059.20898,13733.49023,14490.4209,14552.06445,15160.90332,15026.04297,14884.7207,15195.62793,14017.45898
